대여소_ID,위도,경도,주소
ST-2105,37.692322,127.048393,서울특별시 도봉구 마들로 932 평화문화진지 
ST-2723,37.691013,127.049164,서울특별시 도봉구 도봉구 도봉동 1-22 
ST-2695,37.689762,127.044891,서울 도봉구 도봉로 955 
ST-2140,37.689762,127.044891,서울 도봉구 도봉로 955 
ST-127,37.689762,127.044891,서울 도봉구 도봉로 955 
ST-657,37.68972,127.045197,서울특별시 도봉구 도봉로 955 도봉동 637-1
ST-1289,37.688599,127.053406,서울특별시 노원구 누원로 18 상계동수락리버시티
ST-734,37.688274,127.049065,서울특별시 도봉구 마들로 891 도봉동 22-26
ST-2095,37.688267,127.048897,서울특별시 도봉구 마들로 916 방문자센터 
ST-1463,37.68763,127.042213,서울특별시 도봉구 도봉동 282-16 
ST-1462,37.687592,127.045502,서울특별시 도봉구 도봉산길 10 도봉산역 교차로 앞
ST-3093,37.687508,127.042633,서울특별시 도봉구 도봉동 282-275 
ST-2062,37.686451,127.052834,서울특별시 노원구 누원로 18 수락리버시티4단지 
ST-2115,37.684738,127.050041,서울특별시 도봉구 도봉동 646-1 
ST-1461,37.68401,127.045792,서울특별시 도봉구 도봉로 891 파리바게트앞
ST-3050,37.681255,127.050476,서울특별시 도봉구 도봉구 마들로 805 (도봉동실내스포츠센터 앞) 
ST-612,37.680313,127.055069,서울특별시 노원구 동일로 1701 노원구 상계동 1263
ST-1120,37.68,127.05558,서울특별시 노원구 상계동 1263 파르코 앞
ST-2799,37.679848,127.050385,서울특별시 도봉구 도봉동 86-1 
ST-1467,37.679119,127.044983,"서울특별시 도봉구 도봉로170길 2 도봉역 1,2번 출구사이 건너편"
ST-1297,37.678677,127.040764,서울특별시 도봉구 도봉로173길 96 서울도봉초등학교인근
ST-2914,37.678513,127.051743,서울특별시 노원구 노원구 동일로243길 57 
ST-1434,37.677719,127.046814,서울특별시 도봉구 마들로 749 서울북부지방법원 
ST-2104,37.677219,127.048637,서울특별시 도봉구 마들로 749 서울북부지방법원 
ST-915,37.676941,127.055099,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1263
ST-869,37.67625,127.055504,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1132-9
ST-2804,37.674366,127.059471,서울특별시 노원구 상계동 996-2 
ST-868,37.673618,127.055252,서울특별시 노원구 동일로 1652 노원구 상계동 1118-9
ST-1135,37.673283,127.043991,서울특별시 도봉구 도봉로 771 신도봉사거리 버스정류장
ST-609,37.67271,127.08316,서울특별시 노원구 덕릉로131길 8 노원구 상계동 37-7
ST-1119,37.672375,127.055992,서울특별시 노원구 상계동 1118-9 맥도날드 상계점 앞
ST-2721,37.670868,127.05114,서울특별시 노원구 상계동 620 
ST-3134,37.670738,127.07962,서울특별시 노원구 상계로 309 
ST-2707,37.670303,127.078842,서울특별시 노원구 서울 노원구 상계로 305 
ST-2698,37.669636,127.059708,서울특별시 노원구 (도로명) 서울 노원구 동일로 228길 23 
ST-2730,37.669273,127.032433,서울특별시 도봉구 방학동 606-5 
ST-614,37.669224,127.046516,서울특별시 도봉구 마들로 656 방학동 720
ST-3172,37.669224,127.044418,서울특별시 도봉구 방학동 718 
ST-2093,37.668983,127.043762,서울특별시 도봉구 도봉로 724 
ST-1477,37.668846,127.053329,서울특별시 노원구 동일로227길 26 노원구 상계15단지
ST-1136,37.668671,127.047981,서울특별시 도봉구 마들로 656 도봉구청 옆(중랑천변)
ST-608,37.668461,127.077148,서울특별시 노원구 상계동 1355-2 
ST-2709,37.667828,127.056839,서울특별시 노원구 서울 노원구 상계동 650 
ST-3097,37.667679,127.068253,서울특별시 노원구 한글비석로52길 66 신동아아파트 
ST-1464,37.667599,127.042999,서울특별시 도봉구 도봉로 707 우리은행 앞
ST-3211,37.667519,127.079163,서울특별시 노원구 덕릉로118길 17 불암신기아파트 
